;point_id;X;Y
0;33.0;-73.04738984;-36.82662839
1;31.0;-73.04605698;-36.82603788
2;104.0;-73.04551843;-36.82441776
3;353.0;-73.04762696;-36.81497138
4;354.0;-73.04730979;-36.81550196
5;112.0;-73.03981257;-36.82209342
6;87.0;-73.0433403;-36.82605588
7;92.0;-73.04344512;-36.82423268
8;212.0;-73.04737139;-36.82523046
9;371.0;-73.04424435;-36.81628694
10;108.0;-73.04243519;-36.82318177
11;116.0;-73.03736331;-36.82106028
12;365.0;-73.0366978;-36.81959915
13;320.0;-73.05089218;-36.82722461
14;360.0;-73.04466876;-36.8170023
15;267.0;-73.04172748;-36.82160049
16;161.0;-73.0356474;-36.8206919
17;39.0;-73.05108473;-36.82818058
18;303.0;-73.04040321;-36.82672099
19;350.0;-73.04885778;-36.81413383
