loc_id;X;Y
1;-73.05425536;-36.83460868
2;-73.05355071;-36.83437468
3;-73.05293546;-36.83420114
4;-73.0522387;-36.83401447
5;-73.05157297;-36.83387516
6;-73.05091135;-36.83370158
7;-73.05018827;-36.83351317
8;-73.04955431;-36.83327025
9;-73.04889485;-36.83299657
10;-73.0482321;-36.83272619
11;-73.04755286;-36.83243274
12;-73.04695961;-36.83217916
13;-73.04636067;-36.83192187
14;-73.04579547;-36.83172363
15;-73.04513325;-36.8314579
16;-73.04445417;-36.83115421
17;-73.04391849;-36.83083787
18;-73.04329846;-36.83051731
19;-73.04269108;-36.83022205
20;-73.04206683;-36.82984244
21;-73.04156911;-36.82953031
22;-73.04106296;-36.82920975
23;-73.04045558;-36.82881327
24;-73.03986508;-36.82843366
25;-73.03935893;-36.82811309
26;-73.05502427;-36.83495455
27;-73.05569354;-36.83541285
28;-73.04388053;-36.82596196
29;-73.04453009;-36.82581855
30;-73.0454496;-36.82576793
31;-73.04605698;-36.82603788
32;-73.04673184;-36.82635
33;-73.04738984;-36.82662839
34;-73.04795504;-36.82688146
35;-73.04857086;-36.82710923
36;-73.04922885;-36.82738761
37;-73.04983623;-36.82762382
38;-73.05051953;-36.82791063
39;-73.05108473;-36.82818058
40;-73.05169211;-36.82844209
41;-73.05231637;-36.8287036
42;-73.05303341;-36.82897355
43;-73.05362392;-36.82920132
44;-73.05429879;-36.8294797
45;-73.05483868;-36.82970747
46;-73.05551355;-36.82999428
47;-73.05612093;-36.83023049
48;-73.05684641;-36.83046669
49;-73.0573863;-36.83073664
50;-73.05815396;-36.83106563
51;-73.05881196;-36.83136932
52;-73.05970757;-36.83177566
53;-73.06452283;-36.82079882
54;-73.0639666;-36.82053526
55;-73.06333855;-36.8202717
56;-73.06270282;-36.81993166
57;-73.06211178;-36.81968944
58;-73.06146468;-36.8194012
59;-73.06084787;-36.81915564
60;-73.0602142;-36.8188899
61;-73.0596334;-36.81864087
62;-73.05896914;-36.81835718
63;-73.05835671;-36.8180831
64;-73.05767005;-36.81781551
65;-73.0570986;-36.81756883
66;-73.05649814;-36.81732667
67;-73.05586735;-36.81705937
68;-73.05519765;-36.81676381
69;-73.05461345;-36.81652533
70;-73.05391201;-36.81623683
71;-73.05337934;-36.8160232
72;-73.05269488;-36.81574799
73;-73.05208171;-36.81548663
74;-73.05142052;-36.81520322
75;-73.05078195;-36.81493338
76;-73.05013064;-36.81467342
77;-73.04954707;-36.81440611
